,no_clust,algorithm,predictions
112,7.0,pca,"[1 1 1 1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 0 0 1 1 1 0 1 0 1 0 1 0 1 1 0 0 1 1 1
 0 0 0 1 1 1 1]"
113,7.0,spectral overlap,"[1 1 1 4 1 1 5 4 1 1 5 1 2 4 5 1 1 2 2 2 1 6 1 3 6 1 1 5 1 0 4 0 5 3 2 5 1
 0 2 1 1 1 4 2]"
114,7.0,km_choice,"[0 6 6 2 0 2 0 0 5 2 1 3 0 3 2 2 2 2 2 0 3 2 3 5 0 5 0 2 0 0 4 1 0 0 5 2 3
 0 0 3 4 3 2 6]"
115,7.0,km_ent,"[3 3 2 3 2 3 3 2 2 3 2 3 1 3 0 3 3 3 4 2 3 3 3 5 5 2 3 5 5 5 0 3 5 1 0 5 0
 6 1 2 3 0 0 2]"
116,7.0,km_con,"[4 1 2 6 4 2 4 3 1 2 1 1 4 2 6 1 1 1 6 4 1 6 1 4 4 3 0 6 4 4 5 1 4 4 1 6 1
 4 4 1 5 1 1 1]"
117,7.0,spect_cos_cat,"[1 4 4 5 2 4 2 1 1 1 3 0 5 4 0 2 5 1 2 5 0 2 2 1 1 3 3 3 2 2 6 3 1 2 1 4 3
 2 2 1 6 0 2 1]"
118,7.0,aff_cos_cat,"[1 1 1 1 1 0 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 0 1 0
 1 1 1 1 1 1 0]"
119,7.0,spect_cos_ent,"[5 5 5 5 2 3 5 0 2 5 0 6 1 5 5 5 0 6 2 3 5 4 5 5 4 0 6 4 4 5 5 6 1 0 1 4 5
 2 0 0 5 5 5 3]"
120,7.0,aff_cos_ent,"[0 0 3 0 2 1 0 6 2 0 3 0 1 0 0 0 3 0 4 5 0 8 0 8 8 6 0 8 8 8 0 0 1 7 0 8 0
 9 3 6 0 0 0 1]"
121,7.0,spect_rbf,"[2 2 5 2 3 0 2 0 3 2 5 2 1 2 4 2 5 2 3 0 2 6 2 1 6 5 2 1 6 1 4 2 0 1 4 6 4
 3 1 5 2 4 4 0]"
122,7.0,spect_esk_sim,"[5 1 1 2 5 1 5 4 3 1 2 1 5 1 3 2 3 1 2 4 5 2 4 4 4 4 3 2 0 5 3 6 4 0 6 2 6
 0 5 3 3 1 0 3]"
123,7.0,aff_esk_sim,"[4 3 1 1 4 3 0 0 0 4 1 3 4 5 1 1 3 4 1 0 4 1 0 4 0 0 4 1 2 4 5 3 0 2 1 1 3
 2 4 3 5 1 2 1]"
124,7.0,spect_lin_sim,"[2 3 5 6 2 5 2 4 1 5 1 5 0 6 6 1 1 4 1 0 2 5 2 4 2 4 2 1 3 2 6 1 2 3 1 1 1
 3 0 6 6 4 3 1]"
125,7.0,aff_lin_sim,"[5 0 1 1 5 4 2 2 2 1 1 0 5 6 1 4 4 0 4 2 6 1 2 5 2 2 6 4 3 5 6 3 3 3 2 4 3
 3 5 3 6 1 3 4]"
126,7.0,comp_hr_esk_dis,"[0 6 6 0 3 1 2 2 0 0 3 5 2 6 0 3 3 0 3 2 5 3 5 3 2 2 2 3 4 3 0 1 2 4 3 3 1
 4 0 0 0 5 1 1]"
127,7.0,avg_hr_esk_dis,"[1 4 0 0 1 3 1 1 1 0 0 5 1 2 0 0 0 4 0 1 5 0 5 1 1 1 6 0 3 1 1 3 1 3 1 0 3
 3 1 2 2 5 3 0]"
128,7.0,comp_hr_lin_din,"[0 5 4 3 3 2 0 0 6 4 3 1 0 4 4 2 2 5 2 0 1 4 1 1 0 0 0 2 5 3 6 5 0 5 1 2 5
 5 0 4 3 1 2 2]"
129,7.0,avg_hr_lin_dis,"[2 1 3 3 2 1 2 2 0 3 5 6 2 0 3 3 4 1 3 2 5 3 6 2 2 2 2 3 1 2 0 1 2 1 2 3 1
 1 2 0 3 6 1 4]"
