,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,MI-M,ADMI-M,NMI-M,ARI-M,CO-M,HO-M,VM-M,MI-S,ADMI-S,NMI-S,ARI-S,CO-S,HO-S,VM-S,MI-MR,ADMI-MR,NMI-MR,ARI-MR,CO-MR,HO-MR,VM-MR
60,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.5]","[2, 2]",,spect_cos_cat,0.082381002555,0.0820620665288,0.125976621291,0.0840187241357,0.134151802943,0.11885066385,0.125463022546,0.0842566705226,0.126311971799,0.12961264959,0.132469997738,0.139680868881,0.121556680725,0.129123802125,29,15,29,15,27,29,27
61,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.5]","[2, 2]",,aff_cos_cat,0.098362452287,0.00774199184472,0.113780063753,0.0164241027533,0.0970334876971,0.141907022124,0.108503348617,0.100120531931,0.0628140242682,0.0999643198032,0.0881542838766,0.075995843507,0.144443394908,0.0944391583052,18,48,34,45,45,18,34
62,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.5]","[2, 2]",,spect_cos_ent,0.0521492179895,0.0340853619717,0.0863635674652,0.030514802899,0.100387102404,0.0752354181797,0.0849581915364,0.0498473890839,0.0747237232074,0.085906459158,0.0695144558125,0.105968419768,0.0719145810327,0.0839259492141,45,37,46,38,42,45,45
63,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.5]","[2, 2]",,aff_cos_ent,0.157897182372,0.00969021434281,0.158480089659,0.0131364823314,0.110805034491,0.227797481978,0.148425475911,0.0761441266435,0.0567102212281,0.0729245558081,0.0593686807606,0.0501720368258,0.109852753901,0.0675819288932,10,47,14,46,36,10,15
64,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.5]","[2, 2]",,spect_rbf,0.135170575983,0.161220159937,0.207165149858,0.167006223274,0.220675533617,0.195009919645,0.206493748284,0.0666362346084,0.0999082981285,0.105058381126,0.0967025658661,0.116462081611,0.096135765213,0.104497042188,14,2,4,2,4,14,3
65,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.5]","[2, 2]",,spect_esk_sim,0.0643065125467,0.054630697883,0.095044893799,0.0702824635631,0.0976044134772,0.092774686748,0.0949018390531,0.0845426533348,0.127497272691,0.121825871473,0.158858704853,0.121719477479,0.12196926671,0.121863578146,40,27,40,19,44,40,40
66,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.5]","[2, 2]",,aff_esk_sim,0.132761992211,0.0227355697681,0.14246843129,0.0283754365681,0.106430667504,0.191535067781,0.136273289437,0.0856391022459,0.0723507399066,0.088349149021,0.0800836449284,0.063577529516,0.123551108116,0.0837961922822,15,41,20,39,39,15,20
67,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.5]","[2, 2]",,spect_lin_sim,0.0648736675526,0.0565138650683,0.0946832488394,0.0724450220838,0.0957966640607,0.0935929184624,0.0946717157802,0.0644288560229,0.0967950336089,0.0939597381314,0.121325402083,0.0949870481208,0.0929511910744,0.0939550114837,39,25,41,18,46,39,41
68,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.5]","[2, 2]",,aff_lin_sim,0.161090359255,0.0221249931551,0.152598963281,0.0189817377453,0.100326556362,0.232404262433,0.140001286249,0.106734438505,0.0652748113763,0.0988094668708,0.0650486813088,0.0636379872274,0.153985245124,0.089916824588,9,42,17,42,43,9,19
69,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.5]","[2, 2]",,comp_hr_esk_dis,0.0668582170179,0.0546693398098,0.112443003725,0.0583094696069,0.136463146008,0.0964560181343,0.108950044073,0.0608429389774,0.0934104733805,0.0932875873961,0.104276220726,0.107144785691,0.0877778063358,0.0927771163435,37,26,35,27,25,37,33
